species,decimalLatitude,decimalLongitude
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2694,145.6211
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
Alectura lathami,-17.2732,145.6399
